25042,1,1,0201
25043,1,1,0202
25044,1,1,0301
25045,1,1,0302
25046,1,1,0401
25047,1,1,0402
25048,1,1,0501
25049,1,1,0502
25050,1,1,0601
25051,1,1,0602
25052,1,2,0201
25053,1,2,0202
25054,1,2,0301
25055,1,2,0302
25056,1,2,0401
25057,1,2,0402
25058,1,2,0501
25059,1,2,0502
25060,1,2,0601
25061,1,2,0602
25062,1,3,0201
25063,1,3,0202
25064,1,3,0301
25065,1,3,0302
25066,1,3,0401
25067,1,3,0402
25068,1,3,0501
25069,1,3,0502
25070,1,3,0601
25071,1,3,0602
25072,2,1,0201
25073,2,1,0202
25074,2,1,0301
25075,2,1,0302
25076,2,1,0401
25077,2,1,0402
25078,2,1,0501
25079,2,1,0502
25080,2,1,0601
25081,2,1,0602
25082,2,2,0201
25083,2,2,0202
25084,2,2,0301
25085,2,2,0302
25086,2,2,0401
25087,2,2,0402
25088,2,2,0501
25089,2,2,0502
25090,2,2,0601
25091,2,2,0602
25092,3,1,0201
25093,3,1,0202
25094,3,1,0301
25095,3,1,0302
25096,3,1,0401
25097,3,1,0402
25098,3,1,0501
25099,3,1,0502
25100,3,1,0601
25101,3,1,0602
25102,3,2,0201
25103,3,2,0202
25104,3,2,0301
25105,3,2,0302
25106,3,2,0401
25107,3,2,0402
25108,3,2,0501
25109,3,2,0502
25110,3,2,0601
25111,3,2,0602
25112,4,1,0201
25113,4,1,0202
25114,4,1,0301
25115,4,1,0302
25116,4,1,0401
25117,4,1,0402
25118,4,1,0501
25119,4,1,0502
25120,4,1,0601
25121,4,1,0602
25122,4,2,0201
25123,4,2,0202
25124,4,2,0301
25125,4,2,0302
25126,4,2,0401
25127,4,2,0402
25128,4,2,0501
25129,4,2,0502
25130,4,2,0601
25131,4,2,0602
25132,5,1,0101
25133,5,1,0102
25134,5,1,0201
25135,5,1,0202
25136,5,1,0301
25137,5,1,0302
25138,5,1,0401
25139,5,1,0402
25140,5,1,0501
25141,5,1,0502
25142,5,1,0601
25143,5,1,0602
25144,5,2,0101
25145,5,2,0102
25146,5,2,0201
25147,5,2,0202
25148,5,2,0301
25149,5,2,0302
25150,5,2,0401
25151,5,2,0402
25152,5,2,0501
25153,5,2,0502
25154,5,2,0601
25155,5,2,0602
25156,5,3,0101
25157,5,3,0102
25158,5,3,0201
25159,5,3,0202
25160,5,3,0301
25161,5,3,0302
25162,5,3,0401
25163,5,3,0402
25164,5,3,0501
25165,5,3,0502
25166,5,3,0601
25167,5,3,0602
25168,6,1,0101
25169,6,1,0102
25170,6,1,0201
25171,6,1,0202
25172,6,1,0301
25173,6,1,0302
25174,6,1,0401
25175,6,1,0402
25176,6,1,0501
25177,6,1,0502
25178,6,1,0601
25179,6,1,0602
25180,6,2,0101
25181,6,2,0102
25182,6,2,0201
25183,6,2,0202
25184,6,2,0301
25185,6,2,0302
25186,6,2,0401
25187,6,2,0402
25188,6,2,0501
25189,6,2,0502
25190,6,2,0601
25191,6,2,0602
25192,6,3,0101
25193,6,3,0102
25194,6,3,0201
25195,6,3,0202
25196,6,3,0301
25197,6,3,0302
25198,6,3,0401
25199,6,3,0402
25200,6,3,0501
25201,6,3,0502
25202,6,3,0601
25203,6,3,0602
25204,7,1,0101
25205,7,1,0102
25206,7,1,0201
25207,7,1,0202
25208,7,1,0301
25209,7,1,0302
25210,7,1,0401
25211,7,1,0402
25212,7,1,0501
25213,7,1,0502
25214,7,1,0601
25215,7,1,0602
25216,7,2,0101
25217,7,2,0102
25218,7,2,0201
25219,7,2,0202
25220,7,2,0301
25221,7,2,0302
25222,7,2,0401
25223,7,2,0402
25224,7,2,0501
25225,7,2,0502
25226,7,2,0601
25227,7,2,0602
25228,8,1,0101
25229,8,1,0102
25230,8,1,0201
25231,8,1,0202
25232,8,1,0301
25233,8,1,0302
25234,8,1,0401
25235,8,1,0402
25236,8,1,0501
25237,8,1,0502
25238,8,1,0601
25239,8,1,0602
25240,8,2,0101
25241,8,2,0102
25242,8,2,0201
25243,8,2,0202
25244,8,2,0301
25245,8,2,0302
25246,8,2,0401
25247,8,2,0402
25248,8,2,0501
25249,8,2,0502
25250,8,2,0601
25251,8,2,0602
25252,8,3,0101
25253,8,3,0102
25254,8,3,0201
25255,8,3,0202
25256,8,3,0301
25257,8,3,0302
25258,8,3,0401
25259,8,3,0402
25260,8,3,0501
25261,8,3,0502
25262,8,3,0601
25263,8,3,0602
25264,9,1,0101
25265,9,1,0102
25266,9,1,0201
25267,9,1,0202
25268,9,1,0301
25269,9,1,0302
25270,9,1,0401
25271,9,1,0402
25272,9,1,0501
25273,9,1,0502
25274,9,1,0601
25275,9,1,0602
25276,9,2,0101
25277,9,2,0102
25278,9,2,0201
25279,9,2,0202
25280,9,2,0301
25281,9,2,0302
25282,9,2,0401
25283,9,2,0402
25284,9,2,0501
25285,9,2,0502
25286,9,2,0601
25287,9,2,0602
25288,10,1,0101
25289,10,1,0102
25290,10,1,0201
25291,10,1,0202
25292,10,1,0301
25293,10,1,0302
25294,10,1,0401
25295,10,1,0402
25296,10,1,0501
25297,10,1,0502
25298,10,1,0601
25299,10,1,0602
25300,10,2,0101
25301,10,2,0102
25302,10,2,0201
25303,10,2,0202
25304,10,2,0301
25305,10,2,0302
25306,10,2,0401
25307,10,2,0402
25308,10,2,0501
25309,10,2,0502
25310,10,2,0601
25311,10,2,0602
25312,11,1,0101
25313,11,1,0102
25314,11,1,0201
25315,11,1,0202
25316,11,1,0301
25317,11,1,0302
25318,11,1,0401
25319,11,1,0402
25320,11,1,0501
25321,11,1,0502
25322,11,1,0601
25323,11,1,0602
25324,11,2,0101
25325,11,2,0102
25326,11,2,0201
25327,11,2,0202
25328,11,2,0301
25329,11,2,0302
25330,11,2,0401
25331,11,2,0402
25332,11,2,0501
25333,11,2,0502
25334,11,2,0601
25335,11,2,0602
25336,11,3,0101
25337,11,3,0102
25338,11,3,0201
25339,11,3,0202
25340,11,3,0301
25341,11,3,0302
25342,11,3,0401
25343,11,3,0402
25344,11,3,0501
25345,11,3,0502
25346,11,3,0601
25347,11,3,0602
25348,12,1,0101
25349,12,1,0102
25350,12,1,0201
25351,12,1,0202
25352,12,1,0301
25353,12,1,0302
25354,12,1,0401
25355,12,1,0402
25356,12,1,0501
25357,12,1,0502
25358,12,1,0601
25359,12,1,0602
25360,12,2,0101
25361,12,2,0102
25362,12,2,0201
25363,12,2,0202
25364,12,2,0301
25365,12,2,0302
25366,12,2,0401
25367,12,2,0402
25368,12,2,0501
25369,12,2,0502
25370,12,2,0601
25371,12,2,0602
25372,12,3,0101
25373,12,3,0102
25374,12,3,0201
25375,12,3,0202
25376,12,3,0301
25377,12,3,0302
25378,12,3,0401
25379,12,3,0402
25380,12,3,0501
25381,12,3,0502
25382,12,3,0601
25383,12,3,0602
25384,13,1,0101
25385,13,1,0102
25386,13,1,0201
25387,13,1,0202
25388,13,1,0301
25389,13,1,0302
25390,13,1,0401
25391,13,1,0402
25392,13,1,0501
25393,13,1,0502
25394,13,1,0601
25395,13,1,0602
25396,13,2,0101
25397,13,2,0102
25398,13,2,0201
25399,13,2,0202
25400,13,2,0301
25401,13,2,0302
25402,13,2,0401
25403,13,2,0402
