116740,7089,185.05
116745,7094,180.56
116747,7096,233.38
116748,7097,223.99
116749,7098,185.05
116750,7099,185.30
116753,7102,176.81
116754,7103,177.06
116755,7104,168.76
116756,7105,169.01
116757,7106,223.99
116758,7107,224.29
116760,7109,176.81
116762,7111,176.81
116765,7114,168.55
116767,7116,224.29
116768,7117,223.99
116773,7122,176.81
116776,7125,180.56
116777,7126,223.99
116780,7129,183.54
116783,7132,175.55
116784,7133,175.29
116785,7134,167.50
116787,7136,224.43
116788,7137,224.13
116789,7138,183.81
116790,7139,183.54
116791,7140,175.29
116792,7141,187.10
116793,7142,175.29
116794,7143,187.10
116795,7144,167.24
116797,7146,224.13
116798,7147,233.52
116799,7148,191.81
116800,7149,183.54
116801,7150,187.10
116802,7151,175.29
116806,7155,167.24
116808,7157,224.13
116809,7158,183.54
116811,7160,175.29
116812,7161,175.55
116814,7163,175.55
116815,7164,167.24
116816,7165,167.50
116817,7166,224.13
116818,7167,224.43
116819,7168,183.97
116822,7171,172.27
116823,7172,172.54
116824,7173,172.27
116826,7175,160.83
116829,7178,183.72
116830,7179,191.03
116831,7180,172.27
116832,7181,183.12
116833,7182,172.27
116835,7184,160.83
116836,7185,171.68
116837,7186,233.34
116839,7188,191.03
116840,7189,183.72
116842,7191,172.27
116843,7192,183.12
116844,7193,172.27
116845,7194,171.68
116846,7195,160.83
116847,7196,240.31
116848,7197,233.34
116852,7201,172.54
116854,7203,172.54
116855,7204,160.83
116856,7205,161.10
116857,7206,233.34
116858,7207,233.72
116859,7208,190.92
116860,7209,183.58
116862,7211,172.14
116863,7212,183.01
116864,7213,172.14
116865,7214,171.57
116866,7215,160.71
116868,7217,233.20
116870,7219,190.92
116872,7221,183.01
116873,7222,172.14
116874,7223,183.01
116875,7224,160.71
116876,7225,171.57
116877,7226,233.20
116879,7228,192.11
116880,7229,183.83
116881,7230,187.25
116883,7232,187.25
116884,7233,175.57
116885,7234,179.19
116886,7235,167.51
116888,7237,224.48
116889,7238,183.83
116892,7241,175.57
116895,7244,167.51
116896,7245,167.51
116897,7246,224.48
116898,7247,224.48
116900,7249,192.11
116901,7250,175.57
116902,7251,187.25
116903,7252,175.57
116905,7254,167.51
116908,7257,233.88
116909,7258,191.56
116910,7259,183.25
116911,7260,186.84
116912,7261,175.01
116915,7264,178.81
116916,7265,166.96
116918,7267,223.73
116919,7268,183.25
116920,7269,183.25
116921,7270,175.01
116922,7271,175.01
116924,7273,175.01
116925,7274,166.96
116927,7276,223.73
116928,7277,223.73
116929,7278,183.25
116930,7279,191.56
116931,7280,175.01
116932,7281,186.84
116933,7282,175.01
116934,7283,186.84
116935,7284,166.96
116936,7285,178.81
116937,7286,223.73
116938,7287,233.21
116940,7289,183.46
116941,7290,182.90
116942,7291,172.03
116943,7292,182.90
116944,7293,172.03
116949,7298,183.46
116951,7300,172.03
116953,7302,172.03
116955,7304,160.61
116956,7305,160.61
116957,7306,233.02
116958,7307,232.97
116959,7308,183.46
116960,7309,190.81
116961,7310,172.03
116962,7311,182.90
116963,7312,172.03
116965,7314,160.61
116966,7315,171.43
116967,7316,233.02
116969,7318,191.67
116971,7320,186.96
116973,7322,186.96
116976,7325,167.06
116978,7327,223.87
116990,7339,183.36
116991,7340,186.96
116992,7341,175.11
116993,7342,186.96
116994,7343,175.11
116997,7346,233.35
116999,7348,183.36
117000,7349,191.67
117001,7350,175.11
117003,7352,175.11
117004,7353,186.96
117008,7357,233.35
117010,7359,183.61
117011,7360,172.44
117013,7362,172.44
117015,7364,161.00
117016,7365,160.75
117018,7367,233.20
117020,7369,183.61
117021,7370,172.17
117022,7371,172.17
117023,7372,172.17
117024,7373,172.17
117025,7374,160.75
117026,7375,160.75
117029,7378,183.61
117030,7379,183.86
117032,7381,172.44
117034,7383,172.44
117035,7384,160.75
117036,7385,161.00
117037,7386,233.20
117038,7387,233.58
117040,7389,183.54
117043,7392,182.94
117044,7393,172.10
117045,7394,171.50
117046,7395,160.68
117047,7396,239.01
117049,7398,183.54
117050,7399,183.54
117051,7400,172.10
117052,7401,172.10
117053,7402,172.10
117054,7403,172.10
117055,7404,160.68
117056,7405,160.68
117057,7406,233.10
117058,7407,233.10
117059,7408,183.54
117061,7410,172.10
117062,7411,172.37
117063,7412,172.10
117064,7413,172.37
117068,7417,233.49
